gene	peak	max_abs_Z_RNA	max_abs_Z_ATAC	PPA_3	h2cis_RNA	h2cis_se_RNA	h2cis_p_RNA	h2cis_ATAC	h2cis_se_ATAC	h2cis_p_ATAC	oe_lof_upper	loeuf_quintile	peak_pos	gene_pos	peak_distance	peak_distance_quintile	start_atac	end_atac
CYSLTR2	ATAC_chr13_48588503_48589532	10.1106	4.10833	0.99843	0.17319	0.04018	0	0.14375	0.06369	0.0068	1.77	5	48589017	48653710	64693	4	48588503	48589532
CYSLTR2	ATAC_chr13_48586301_48587520	10.1106	9.48464	0.998973	0.17319	0.04018	0	0.57452	0.1052	0	1.77	5	48586910	48653710	66800	4	48586301	48587520
CYSLTR2	ATAC_chr13_48589870_48592580	10.1106	13.2255	0.999612	0.17319	0.04018	0	0.65498	0.07489	0	1.77	5	48591225	48653710	62485	4	48589870	48592580
CYSLTR2	ATAC_chr13_48593241_48594974	10.1106	8.76273	0.999312	0.17319	0.04018	0	0.49202	0.10383	0	1.77	5	48594107	48653710	59603	4	48593241	48594974
CYSLTR2	ATAC_chr13_48595261_48595926	10.1106	6.77561	0.999227	0.17319	0.04018	0	0.37048	0.09098	0	1.77	5	48595593	48653710	58117	4	48595261	48595926
CYSLTR2	ATAC_chr13_48653128_48654066	10.0703	5.40429	0.999464	0.17319	0.04018	0	0.41265	0.10739	1.00E-05	1.77	5	48653597	48653710	113	1	48653128	48654066
CYSLTR2	ATAC_chr13_48655340_48655700	10.0703	4.77305	0.998549	0.17319	0.04018	0	0.20201	0.0745	0.00061	1.77	5	48655519	48653710	1809	1	48655340	48655700
NUDT15	ATAC_chr13_48588503_48589532	4.0522	4.10833	0.991238	0.06135	0.02824	0.00493	0.14375	0.06369	0.0068	1.408	5	48589017	48037725	551292	5	48588503	48589532
NUDT15	ATAC_chr13_48593241_48594974	4.0522	8.76273	0.987694	0.06135	0.02824	0.00493	0.49202	0.10383	0	1.408	5	48594107	48037725	556382	5	48593241	48594974
RCBTB2	ATAC_chr13_48588503_48589532	4.27239	4.10833	0.996567	0.04401	0.02077	0.0033	0.14375	0.06369	0.0068	0.945	3	48589017	48533255	55762	4	48588503	48589532
RCBTB2	ATAC_chr13_48586301_48587520	4.27239	9.48464	0.998184	0.04401	0.02077	0.0033	0.57452	0.1052	0	0.945	3	48586910	48533255	53655	4	48586301	48587520
RCBTB2	ATAC_chr13_48589870_48592580	4.27239	13.2255	0.996945	0.04401	0.02077	0.0033	0.65498	0.07489	0	0.945	3	48591225	48533255	57970	4	48589870	48592580
RCBTB2	ATAC_chr13_48593241_48594974	4.27239	8.76273	0.99793	0.04401	0.02077	0.0033	0.49202	0.10383	0	0.945	3	48594107	48533255	60852	4	48593241	48594974
RCBTB2	ATAC_chr13_48595261_48595926	4.27239	6.77561	0.996828	0.04401	0.02077	0.0033	0.37048	0.09098	0	0.945	3	48595593	48533255	62338	4	48595261	48595926
RCBTB2	ATAC_chr13_48653128_48654066	4.10619	5.40429	0.998395	0.04401	0.02077	0.0033	0.41265	0.10739	1.00E-05	0.945	3	48653597	48533255	120342	5	48653128	48654066
RCBTB2	ATAC_chr13_48655340_48655700	4.10619	4.77305	0.996034	0.04401	0.02077	0.0033	0.20201	0.0745	0.00061	0.945	3	48655519	48533255	122264	5	48655340	48655700
ARL11	ATAC_chr13_49606758_49607700	14.032	4.55761	0.999972	0.46537	0.05382	0	0.29602	0.11338	0.0063	1.886	5	49607229	49628506	21277	2	49606758	49607700
ARL11	ATAC_chr13_49620174_49620670	10.137	9.64967	1	0.46537	0.05382	0	0.7726	0.05141	0	1.886	5	49620421	49628506	8085	2	49620174	49620670
ARL11	ATAC_chr13_49627857_49630277	10.137	6.58495	0.999995	0.46537	0.05382	0	0.6002	0.09069	0	1.886	5	49629067	49628506	561	1	49627857	49630277
NEK3	ATAC_chr13_51879102_51879437	5.7433	5.13145	0.995941	0.1123	0.04843	0	0.22599	0.08057	1.00E-05	1.34	4	51879269	52159860	280591	5	51879102	51879437
NEK3	ATAC_chr13_51909014_51909908	6.34097	6.47774	0.999694	0.1123	0.04843	0	0.27657	0.09774	1.00E-05	1.34	4	51909461	52159860	250399	5	51909014	51909908
NEK3	ATAC_chr13_51911930_51912399	6.43928	4.36333	0.996773	0.1123	0.04843	0	0.13228	0.06084	0.00185	1.34	4	51912164	52159860	247696	5	51911930	51912399
NEK3	ATAC_chr13_51912791_51913165	6.43928	6.43965	0.999689	0.1123	0.04843	0	0.16859	0.07194	0.00018	1.34	4	51912977	52159860	246883	5	51912791	51913165
NEK3	ATAC_chr13_51959484_51960536	7.05061	7.99757	0.999689	0.1123	0.04843	0	0.29044	0.09119	0	1.34	4	51960009	52159860	199851	5	51959484	51960536
ATP7B	ATAC_chr13_51923867_51924639	6.94316	4.15361	0.99732	0.21943	0.0571	0	0.18557	0.13325	0.02027	1.188	4	51924253	52012124	87871	4	51923867	51924639
THSD1	ATAC_chr13_51967677_51968552	3.58152	4.51236	0.993127	0.01728	0.01252	0.03943	0.14506	0.07082	0.0015	0.883	3	51968114	52416372	448258	5	51967677	51968552
CKAP2	ATAC_chr13_52453978_52456515	11.8845	5.12535	0.997789	0.25939	0.05158	0	0.20767	0.08645	0.00027	1.126	4	52455246	52455428	182	1	52453978	52456515
PCDH9	ATAC_chr13_67225255_67228384	4.16017	3.94641	0.997064	0.03048	0.02646	0.1434	0.18007	0.09252	0.03589	0.372	1	67226819	67230444	3625	1	67225255	67228384
TBC1D4	ATAC_chr13_75217751_75218294	24.9462	5.69575	0.9999	0.65246	0.03723	0	0.31842	0.10915	0.00289	0.915	3	75218022	75482168	264146	5	75217751	75218294
TBC1D4	ATAC_chr13_75285214_75286203	22.2461	8.73728	1	0.65246	0.03723	0	0.54641	0.08605	0	0.915	3	75285708	75482168	196460	5	75285214	75286203
TBC1D4	ATAC_chr13_75294044_75294672	22.2461	10.9901	1	0.65246	0.03723	0	0.73513	0.0684	0	0.915	3	75294357	75482168	187811	5	75294044	75294672
TBC1D4	ATAC_chr13_75296693_75297064	22.2461	6.37886	0.999986	0.65246	0.03723	0	0.24953	0.09409	0.00626	0.915	3	75296878	75482168	185290	5	75296693	75297064
TBC1D4	ATAC_chr13_75302139_75302731	23.1288	6.5942	0.999953	0.65246	0.03723	0	0.64116	0.09555	0.0001	0.915	3	75302435	75482168	179733	5	75302139	75302731
TBC1D4	ATAC_chr13_75303509_75304018	23.1288	5.58	0.999916	0.65246	0.03723	0	0.22803	0.10194	0.03018	0.915	3	75303763	75482168	178405	5	75303509	75304018
TBC1D4	ATAC_chr13_75304719_75305505	23.1288	9.08472	1	0.65246	0.03723	0	0.64858	0.09725	0	0.915	3	75305111	75482168	177057	5	75304719	75305505
TBC1D4	ATAC_chr13_75305974_75306586	24.9462	7.27194	0.999953	0.65246	0.03723	0	0.43374	0.10205	0.00021	0.915	3	75306279	75482168	175889	5	75305974	75306586
TBC1D4	ATAC_chr13_75308040_75308652	24.9462	11.0924	0.999983	0.65246	0.03723	0	0.74247	0.06887	0	0.915	3	75308345	75482168	173823	5	75308040	75308652
TBC1D4	ATAC_chr13_75309766_75310918	24.9462	9.9324	0.999981	0.65246	0.03723	0	0.56817	0.09603	2.00E-05	0.915	3	75310341	75482168	171827	5	75309766	75310918
TBC1D4	ATAC_chr13_75312565_75313368	24.9462	7.95157	0.999623	0.65246	0.03723	0	0.5655	0.09248	0	0.915	3	75312966	75482168	169202	5	75312565	75313368
TBC1D4	ATAC_chr13_75317827_75318616	24.9462	11.7254	0.999968	0.65246	0.03723	0	0.63471	0.0824	0	0.915	3	75318221	75482168	163947	5	75317827	75318616
TBC1D4	ATAC_chr13_75325873_75327352	24.9462	7.92	0.999821	0.65246	0.03723	0	0.69164	0.08336	0	0.915	3	75326612	75482168	155556	5	75325873	75327352
TBC1D4	ATAC_chr13_75374848_75375639	11.1888	4.04368	0.996216	0.65246	0.03723	0	0.10076	0.09259	0.1771	0.915	3	75375243	75482168	106925	4	75374848	75375639
TBC1D4	ATAC_chr13_75384956_75385996	11.3172	5.4686	0.999339	0.65246	0.03723	0	0.34866	0.11119	0.00357	0.915	3	75385475	75482168	96693	4	75384956	75385996
TBC1D4	ATAC_chr13_75400742_75401452	15.3276	6.21886	0.999729	0.65246	0.03723	0	0.6424	0.08974	0	0.915	3	75401097	75482168	81071	4	75400742	75401452
DZIP1	ATAC_chr13_95798508_95799270	5.06621	3.83607	0.99891	0.05063	0.03014	0.03648	0.09754	0.09011	0.1332	1.03	4	95798889	95644705	154184	5	95798508	95799270
STK24	ATAC_chr13_98521432_98526850	5.51303	5.89288	0.999833	0.12398	0.03665	6.00E-05	0.3812	0.09129	7.00E-05	0.58	2	98524141	98577939	53798	4	98521432	98526850
TMTC4	ATAC_chr13_100672045_100676383	16.722	5.31542	0.999562	0.45016	0.04729	0	0.26528	0.09447	0.00484	0.782	3	100674213	100675092	879	1	100672045	100676383
BIVM	ATAC_chr13_102873432_102874082	7.30866	5.54121	0.999768	0.15043	0.03717	0	0.46429	0.10071	1.00E-05	0.672	2	102873757	102799118	74639	4	102873432	102874082
RAB20	ATAC_chr13_110509642_110510912	10.31	6.70855	1	0.31136	0.0547	0	0.50521	0.12144	0.00109	1.596	5	110510277	110561721	51444	3	110509642	110510912
RAB20	ATAC_chr13_110555595_110556386	10.31	6.2131	0.999988	0.31136	0.0547	0	0.43131	0.12085	0.0017	1.596	5	110555990	110561721	5731	2	110555595	110556386
RAB20	ATAC_chr13_110559572_110563035	10.31	5.34694	0.999987	0.31136	0.0547	0	0.0316	0.13354	0.4314	1.596	5	110561303	110561721	418	1	110559572	110563035
MCF2L	ATAC_chr13_112968288_112969846	11.0705	9.5107	0.999999	0.25104	0.05384	0	0.13065	0.12007	0.1879	0.504	2	112969067	112894377	74690	4	112968288	112969846
CDC16	ATAC_chr13_114259596_114261858	12.9422	5.16583	0.999616	0.27305	0.05292	0	0.1957	0.07847	0.00227	0.379	1	114260727	114234886	25841	3	114259596	114261858
CDC16	ATAC_chr13_114263168_114264121	12.9422	6.17157	0.999793	0.27305	0.05292	0	0.22572	0.0695	9.00E-05	0.379	1	114263644	114234886	28758	3	114263168	114264121
CCNB1IP1	ATAC_chr14_20493516_20494234	6.56141	5.16284	0.999996	0.14016	0.0478	0.00251	0.05862	0.09948	0.3238	1.126	4	20493875	20333311	160564	5	20493516	20494234
KLHL33	ATAC_chr14_20493516_20494234	4.40468	5.16284	0.999957	0.0458	0.0371	0.1596	0.05862	0.09948	0.3238	0.935	3	20493875	20436165	57710	4	20493516	20494234
PNP	ATAC_chr14_20493516_20494234	19.7119	5.16284	0.999998	0.7416	0.03109	0	0.05862	0.09948	0.3238	1.152	4	20493875	20461991	31884	3	20493516	20494234
TEP1	ATAC_chr14_20493516_20494234	9.93579	5.16284	0.999998	0.40571	0.0571	0	0.05862	0.09948	0.3238	0.838	3	20493875	20413500	80375	4	20493516	20494234
TTC5	ATAC_chr14_20493516_20494234	4.15076	5.16284	0.999758	0.11012	0.04292	0.00559	0.05862	0.09948	0.3238	0.794	3	20493875	20305959	187916	5	20493516	20494234
SALL2	ATAC_chr14_21413993_21414763	4.28512	18.5349	0.999788	0.02524	0.02434	0.1924	0.84541	0.07288	0	0.693	3	21414377	21537215	122838	5	21413993	21414763
OR10G2	ATAC_chr14_21612278_21612751	9.7058	14.1227	0.999929	0.2411	0.05179	0	0.83725	0.06053	0	1.65	5	21612514	21634939	22425	2	21612278	21612751
MMP14	ATAC_chr14_22793992_22795061	7.91815	7.09491	1	0.21544	0.04824	0	0.4994	0.15434	0.0043	0.267	1	22794526	22836559	42033	3	22793992	22795061
MMP14	ATAC_chr14_22797161_22798179	7.91815	6.25021	0.999997	0.21544	0.04824	0	0.33084	0.13863	0.02287	0.267	1	22797669	22836559	38890	3	22797161	22798179
MMP14	ATAC_chr14_22798377_22799122	7.91815	4.62295	0.999937	0.21544	0.04824	0	0.25121	0.12069	0.03611	0.267	1	22798749	22836559	37810	3	22798377	22799122
MMP14	ATAC_chr14_22812854_22813502	7.91815	5.5996	0.999995	0.21544	0.04824	0	0.24732	0.11481	0.03591	0.267	1	22813177	22836559	23382	2	22812854	22813502
MMP14	ATAC_chr14_22814949_22816252	7.91815	6.85496	1	0.21544	0.04824	0	0.29542	0.13231	0.02897	0.267	1	22815600	22836559	20959	2	22814949	22816252
MRPL52	ATAC_chr14_22793992_22795061	8.94017	7.09491	1	0.3073	0.05739	0	0.4994	0.15434	0.0043	1.702	5	22794526	22829878	35352	3	22793992	22795061
MRPL52	ATAC_chr14_22797161_22798179	8.94017	6.25021	0.999996	0.3073	0.05739	0	0.33084	0.13863	0.02287	1.702	5	22797669	22829878	32209	3	22797161	22798179
MRPL52	ATAC_chr14_22798377_22799122	8.94017	4.62295	0.99993	0.3073	0.05739	0	0.25121	0.12069	0.03611	1.702	5	22798749	22829878	31129	3	22798377	22799122
MRPL52	ATAC_chr14_22812854_22813502	8.94017	5.5996	0.999994	0.3073	0.05739	0	0.24732	0.11481	0.03591	1.702	5	22813177	22829878	16701	2	22812854	22813502
MRPL52	ATAC_chr14_22814949_22816252	8.94017	6.85496	1	0.3073	0.05739	0	0.29542	0.13231	0.02897	1.702	5	22815600	22829878	14278	2	22814949	22816252
SLC7A7	ATAC_chr14_22793992_22795061	16.445	7.09491	1	0.65888	0.03779	0	0.4994	0.15434	0.0043	0.959	3	22794526	22829819	35293	3	22793992	22795061
SLC7A7	ATAC_chr14_22797161_22798179	16.445	6.25021	0.999997	0.65888	0.03779	0	0.33084	0.13863	0.02287	0.959	3	22797669	22829819	32150	3	22797161	22798179
SLC7A7	ATAC_chr14_22798377_22799122	16.445	4.62295	0.999941	0.65888	0.03779	0	0.25121	0.12069	0.03611	0.959	3	22798749	22829819	31070	3	22798377	22799122
SLC7A7	ATAC_chr14_22812854_22813502	16.445	5.5996	0.999996	0.65888	0.03779	0	0.24732	0.11481	0.03591	0.959	3	22813177	22829819	16642	2	22812854	22813502
SLC7A7	ATAC_chr14_22814949_22816252	16.445	6.85496	1	0.65888	0.03779	0	0.29542	0.13231	0.02897	0.959	3	22815600	22829819	14219	2	22814949	22816252
DHRS4	ATAC_chr14_24035726_24037531	6.75001	8.51049	0.999553	0.1664	0.06813	0.02228	0.43421	0.11242	0.0007	1.311	4	24036628	23953733	82895	4	24035726	24037531
EMC9	ATAC_chr14_24140566_24142471	12.9371	5.76875	0.999986	0.30013	0.04638	0	0.19567	0.10425	0.06005	1.112	4	24141518	24141590	72	1	24140566	24142471
PPP2R3C	ATAC_chr14_35121087_35123999	12.9217	5.39286	0.999778	0.31833	0.05415	0	0.43809	0.11072	0.00016	0.96	3	35122543	35122516	27	1	35121087	35123999
L2HGDH	ATAC_chr14_50319256_50320008	14.9234	6.45976	0.991401	0.27944	0.04618	0	0.26728	0.08133	6.00E-05	0.787	3	50319631	50312228	7403	2	50319256	50320008
L2HGDH	ATAC_chr14_50335611_50336701	14.9234	5.09686	0.998595	0.27944	0.04618	0	0.18523	0.07699	0.0019	0.787	3	50336155	50312228	23927	2	50335611	50336701
MAP4K5	ATAC_chr14_50319256_50320008	7.97402	6.45976	0.998982	0.12622	0.03543	0	0.26728	0.08133	6.00E-05	0.284	1	50319631	50561125	241494	5	50319256	50320008
MAP4K5	ATAC_chr14_50335611_50336701	8.03505	5.09686	0.998137	0.12622	0.03543	0	0.18523	0.07699	0.0019	0.284	1	50336155	50561125	224970	5	50335611	50336701
TMX1	ATAC_chr14_51208906_51209740	12.3722	4.87674	0.996692	0.30564	0.04645	0	0.35661	0.11165	0.0053	0.819	3	51209323	51240161	30838	3	51208906	51209740
TRIM9	ATAC_chr14_51208906_51209740	8.96213	4.87674	0.99922	0.15856	0.03606	0	0.35661	0.11165	0.0053	0.17	1	51209323	51096060	113263	5	51208906	51209740
FRMD6	ATAC_chr14_51614775_51615188	3.75746	4.63609	0.996563	0.07864	0.03072	0.00424	0.16075	0.09821	0.08634	0.495	2	51614981	51489099	125882	5	51614775	51615188
FRMD6	ATAC_chr14_51621302_51622167	3.75746	4.65731	0.992148	0.07864	0.03072	0.00424	0.03708	0.08562	0.3714	0.495	2	51621734	51489099	132635	5	51621302	51622167
GNG2	ATAC_chr14_51847974_51849551	9.72458	4.9584	0.999818	0.29886	0.05158	0	0.14403	0.08915	0.09427	1.354	5	51848762	51826194	22568	2	51847974	51849551
GNG2	ATAC_chr14_51850667_51852518	9.72458	5.87096	0.999974	0.29886	0.05158	0	0.40048	0.13552	0.004	1.354	5	51851592	51826194	25398	3	51850667	51852518
GNG2	ATAC_chr14_51859724_51863901	7.43892	3.83548	0.999094	0.29886	0.05158	0	0.4627	0.10493	0.00067	1.354	5	51861812	51826194	35618	3	51859724	51863901
GCH1	ATAC_chr14_54881237_54882820	5.27656	4.12593	0.999108	0.07395	0.03132	0.00231	0.37696	0.11533	0.00438	0.398	1	54882028	54902825	20797	2	54881237	54882820
DAAM1	ATAC_chr14_59302788_59303554	12.9496	6.444	0.999988	0.35123	0.04754	0	0.68489	0.08666	0	0.261	1	59303171	59188645	114526	5	59302788	59303554
DAAM1	ATAC_chr14_59310617_59310950	12.9496	4.50762	0.999958	0.35123	0.04754	0	0.27409	0.094	0.00248	0.261	1	59310783	59188645	122138	5	59310617	59310950
DAAM1	ATAC_chr14_59312888_59314539	12.9496	4.68401	0.999983	0.35123	0.04754	0	0.30673	0.11986	0.0034	0.261	1	59313713	59188645	125068	5	59312888	59314539
ESR2	ATAC_chr14_64293534_64295691	11.82	12.1321	0.98472	0.28744	0.05368	0	0.52299	0.08564	0	1.007	4	64294612	64338111	43499	3	64293534	64295691
ESR2	ATAC_chr14_64296377_64297130	11.82	7.33213	0.998896	0.28744	0.05368	0	0.42268	0.09717	0	1.007	4	64296753	64338111	41358	3	64296377	64297130
MTHFD1	ATAC_chr14_64407244_64408136	8.18016	14.968	0.997385	0.1364	0.04075	0	0.62372	0.08726	0	0.448	2	64407689	64388030	19659	2	64407244	64408136
MTHFD1	ATAC_chr14_64409253_64410016	8.18016	18.1623	0.997365	0.1364	0.04075	0	0.70851	0.07097	0	0.448	2	64409634	64388030	21604	2	64409253	64410016
MTHFD1	ATAC_chr14_64410194_64410491	8.18016	5.33609	0.999212	0.1364	0.04075	0	0.19383	0.07333	0.00283	0.448	2	64410342	64388030	22312	2	64410194	64410491
RAB15	ATAC_chr14_64971944_64972833	8.31745	5.91698	0.999463	0.30748	0.06563	0	0.28044	0.07769	4.00E-05	0.824	3	64972388	64973225	837	1	64971944	64972833
ACOT4	ATAC_chr14_73591658_73592624	15.1626	8.44047	0.999402	0.43236	0.05545	0	0.49971	0.10492	1.00E-05	1.655	5	73592141	73591872	269	1	73591658	73592624
ACOT4	ATAC_chr14_73612220_73613309	15.1626	5.09648	0.999405	0.43236	0.05545	0	0.06275	0.08903	0.2695	1.655	5	73612764	73591872	20892	2	73612220	73613309
ALDH6A1	ATAC_chr14_73949621_73951203	6.17814	4.89628	0.99693	0.07179	0.02599	9.00E-05	0.24983	0.10309	0.00579	0.945	3	73950411	74084491	134080	5	73949621	73951203
LIN52	ATAC_chr14_74140304_74140776	7.52943	4.24741	0.998903	0.18598	0.05334	0	0.12458	0.05965	0.0109	0.372	1	74140539	74084955	55584	4	74140304	74140776
DLST	ATAC_chr14_74712468_74713603	4.53759	5.76928	0.9928	0.06553	0.02794	0.00117	0.30774	0.10811	0.00017	0.449	2	74713035	74881890	168855	5	74712468	74713603
PROX2	ATAC_chr14_74712468_74713603	4.67032	5.76928	0.997131	0.04709	0.02157	0.00302	0.30774	0.10811	0.00017	1.724	5	74713035	74876153	163118	5	74712468	74713603
RPS6KL1	ATAC_chr14_74913988_74914330	6.23319	4.10238	0.999555	0.08828	0.02989	0	0.12035	0.0666	0.01484	0.91	3	74914159	74923301	9142	2	74913988	74914330
RPS6KL1	ATAC_chr14_74933935_74935349	6.23319	4.27973	0.999116	0.08828	0.02989	0	0.15473	0.07892	0.00658	0.91	3	74934641	74923301	11340	2	74933935	74935349
ACYP1	ATAC_chr14_75158969_75159815	4.41918	11.1028	0.988568	0.03933	0.02174	0.00762	0.4271	0.07553	0	1.486	5	75159391	75069482	89909	4	75158969	75159815
EIF2B2	ATAC_chr14_75158969_75159815	18.8392	11.1028	0.997341	0.34398	0.0511	0	0.4271	0.07553	0	1.517	5	75159391	75002920	156471	5	75158969	75159815
MLH3	ATAC_chr14_75158969_75159815	11.6772	11.1028	0.998068	0.22522	0.0467	0	0.4271	0.07553	0	0.587	2	75159391	75051531	107860	4	75158969	75159815
GPATCH2L	ATAC_chr14_76151279_76153138	19.8772	5.62083	0.998872	0.56087	0.03936	0	0.42499	0.11118	0.00139	0.566	2	76152208	76151915	293	1	76151279	76153138
GPATCH2L	ATAC_chr14_76186113_76186932	19.8772	6.46824	0.999246	0.56087	0.03936	0	0.47929	0.10109	2.00E-05	0.566	2	76186522	76151915	34607	3	76186113	76186932
GPATCH2L	ATAC_chr14_76191300_76191599	19.8772	5.97007	0.999265	0.56087	0.03936	0	0.2925	0.08902	0.00039	0.566	2	76191449	76151915	39534	3	76191300	76191599
GPATCH2L	ATAC_chr14_76193552_76194705	19.8772	9.44302	0.999375	0.56087	0.03936	0	0.5508	0.0929	0	0.566	2	76194128	76151915	42213	3	76193552	76194705
GPATCH2L	ATAC_chr14_76194879_76195253	19.8772	7.28345	0.999326	0.56087	0.03936	0	0.45819	0.09559	4.00E-05	0.566	2	76195065	76151915	43150	3	76194879	76195253
GPATCH2L	ATAC_chr14_76201052_76201567	19.8772	5.72115	0.998729	0.56087	0.03936	0	0.40621	0.09429	0.00014	0.566	2	76201309	76151915	49394	3	76201052	76201567
VASH1	ATAC_chr14_76720075_76721015	7.94269	8.26349	0.999558	0.22326	0.05062	0	0.59831	0.09049	0	0.604	2	76720545	76761467	40922	3	76720075	76721015
IRF2BPL	ATAC_chr14_76958184_76962834	8.81717	5.09476	0.998228	0.15143	0.04676	0.00078	0.22665	0.09902	0.01793	0.405	1	76960509	77028707	68198	4	76958184	76962834
CIPC	ATAC_chr14_77120548_77125950	13.0696	9.08889	0.999841	0.46263	0.05144	0	0.67506	0.08893	0	0.778	3	77123249	77098125	25124	3	77120548	77125950
SPTLC2	ATAC_chr14_77551435_77552159	16.0827	5.2199	0.999988	0.58314	0.05919	0	0.21233	0.09343	0.00871	0.39	1	77551797	77616636	64839	4	77551435	77552159
SPTLC2	ATAC_chr14_77557039_77557835	16.0827	10.2568	1	0.58314	0.05919	0	0.33666	0.11571	0.0015	0.39	1	77557437	77616636	59199	4	77557039	77557835
SPTLC2	ATAC_chr14_77562860_77563332	16.0827	4.47619	0.999987	0.58314	0.05919	0	0.13451	0.10147	0.1136	0.39	1	77563095	77616636	53541	3	77562860	77563332
SPTLC2	ATAC_chr14_77565364_77565861	16.0827	5.41614	0.999998	0.58314	0.05919	0	0.29465	0.14318	0.0156	0.39	1	77565612	77616636	51024	3	77565364	77565861
GPR65	ATAC_chr14_87939965_87941211	9.76994	10.8379	0.999603	0.20237	0.04403	0	0.77811	0.06893	0	0.833	3	87940587	88005134	64547	4	87939965	87941211
GPR65	ATAC_chr14_88001711_88003734	9.84639	6.47275	0.998901	0.20237	0.04403	0	0.26737	0.07777	6.00E-05	0.833	3	88002722	88005134	2412	1	88001711	88003734
GALC	ATAC_chr14_87991841_87996500	14.1864	4.29872	0.99676	0.35421	0.04859	0	0.14374	0.08555	0.07052	0.937	3	87994170	87993664	506	1	87991841	87996500
KCNK10	ATAC_chr14_88194685_88195227	5.41553	5.81437	0.99991	0.04025	0.02294	0.02133	0.19195	0.0914	0.02525	0.674	2	88194955	88326906	131951	5	88194685	88195227
KCNK10	ATAC_chr14_88196814_88197456	5.41553	10.1221	0.996863	0.04025	0.02294	0.02133	0.55671	0.0858	0	0.674	2	88197135	88326906	129771	5	88196814	88197456
KCNK10	ATAC_chr14_88206973_88207607	5.47273	9.85899	0.999881	0.04025	0.02294	0.02133	0.54359	0.08607	0	0.674	2	88207289	88326906	119617	5	88206973	88207607
KCNK10	ATAC_chr14_88208895_88210253	5.47273	14.1919	0.999944	0.04025	0.02294	0.02133	0.77706	0.06244	0	0.674	2	88209573	88326906	117333	5	88208895	88210253
KCNK10	ATAC_chr14_88211002_88211434	5.47273	10.4608	0.99985	0.04025	0.02294	0.02133	0.62299	0.08561	0	0.674	2	88211217	88326906	115689	5	88211002	88211434
KCNK10	ATAC_chr14_88227673_88228128	5.47273	8.87887	0.999356	0.04025	0.02294	0.02133	0.47291	0.09043	0	0.674	2	88227900	88326906	99006	4	88227673	88228128
KCNK10	ATAC_chr14_88232724_88233048	5.47273	6.51616	0.999632	0.04025	0.02294	0.02133	0.35483	0.08952	0.00018	0.674	2	88232885	88326906	94021	4	88232724	88233048
KCNK10	ATAC_chr14_88233935_88234201	5.47273	5.89896	0.999483	0.04025	0.02294	0.02133	0.29909	0.10033	0.00101	0.674	2	88234067	88326906	92839	4	88233935	88234201
CALM1	ATAC_chr14_90381496_90385003	9.46408	5.75517	0.999943	0.25656	0.04844	0	0.33956	0.14264	0.03448	0.327	1	90383249	90396501	13252	2	90381496	90385003
TC2N	ATAC_chr14_91774086_91774712	14.2869	4.42436	0.999692	0.38421	0.04716	0	0.2787	0.1107	0.01087	1.002	4	91774399	91867535	93136	4	91774086	91774712
TC2N	ATAC_chr14_91817649_91818444	14.2869	4.34448	0.997378	0.38421	0.04716	0	0.11453	0.09013	0.1583	1.002	4	91818046	91867535	49489	3	91817649	91818444
TC2N	ATAC_chr14_91829619_91831243	14.2869	8.64476	0.999897	0.38421	0.04716	0	0.73671	0.08453	0	1.002	4	91830431	91867535	37104	3	91829619	91831243
TC2N	ATAC_chr14_91835550_91837272	14.2869	12.1771	0.999883	0.38421	0.04716	0	0.76287	0.06673	0	1.002	4	91836411	91867535	31124	3	91835550	91837272
FBLN5	ATAC_chr14_91866840_91867983	7.91459	4.46872	0.999944	0.25659	0.05554	0	0.22372	0.09238	0.00778	0.172	1	91867411	91947986	80575	4	91866840	91867983
FBLN5	ATAC_chr14_91871730_91874450	7.91459	8.90959	0.99909	0.25659	0.05554	0	0.39094	0.08375	0	0.172	1	91873089	91947986	74897	4	91871730	91874450
MOAP1	ATAC_chr14_93164710_93166158	6.34302	10.1383	0.999746	0.11715	0.03849	0.00035	0.67666	0.07874	0	1.881	5	93165433	93184922	19489	2	93164710	93166158
TMEM251	ATAC_chr14_93164710_93166158	4.95756	10.1383	0.999792	0.10749	0.04392	0.00393	0.67666	0.07874	0	1.377	5	93165433	93184950	19517	2	93164710	93166158
IFI27L2	ATAC_chr14_94128679_94130500	13.2772	4.76118	0.999993	0.26119	0.04826	0	0.23402	0.13366	0.07216	1.933	5	94129589	94130252	663	1	94128679	94130500
CLMN	ATAC_chr14_95344949_95345469	8.3136	18.1238	1	0.23653	0.05485	0	0.25549	0.11586	0.04216	0.698	3	95345209	95319907	25302	3	95344949	95345469
DICER1	ATAC_chr14_95344949_95345469	4.21091	18.1238	0.99989	0.05707	0.03435	0.07707	0.25549	0.11586	0.04216	0.166	1	95345209	95158009	187200	5	95344949	95345469
TCL1B	ATAC_chr14_95668151_95669138	11.6192	6.76146	1	0.30313	0.05137	0	0.70482	0.10697	0.00024	1.236	4	95668644	95686425	17781	2	95668151	95669138
TCL1B	ATAC_chr14_95669676_95671141	11.6192	10.1075	1	0.30313	0.05137	0	0.45602	0.15663	0.02334	1.236	4	95670408	95686425	16017	2	95669676	95671141
DEGS2	ATAC_chr14_100157136_100158362	4.15584	5.94226	0.998871	0.03773	0.03053	0.1304	0.25729	0.11732	0.03167	1.214	4	100157749	100159644	1895	1	100157136	100158362
